Country,Code,Continent region,Year,Alcohol use,Smoking,Drug use,Population,Total Death Rate
Afghanistan,AFG,Asia,2019,583,10306,700,37769499,209370
Albania,ALB,Europe,2019,737,4425,130,2854191,28500
Algeria,DZA,Africa,2019,1285,21555,1030,42705368,248758
American Samoa,ASM,Oceania,2019,2,55,2,47321,440
Andorra,AND,Europe,2019,40,106,6,76343,461
Angola,AGO,Africa,2019,11906,7511,557,32353588,105877
Antigua and Barbuda,ATG,North America,2019,28,37,1,92117,562
Argentina,ARG,South America,2019,20962,51306,3062,44938712,279007
Armenia,ARM,Asia,2019,802,4864,96,2820602,36622
Australia,AUS,Oceania,2019,8576,18999,2673,25340217,115179
Austria,AUT,Europe,2019,4944,12314,594,8879920,74571
Azerbaijan,AZE,Asia,2019,4044,12497,347,10024283,105302
Bahrain,BHR,Asia,2019,69,545,28,1494188,5933
Bangladesh,BGD,Asia,2019,10147,105712,1384,165516222,970115
Barbados,BRB,North America,2019,126,157,4,280180,2666
Belarus,BLR,Europe,2019,9807,20509,862,9419758,153255
Belgium,BEL,Europe,2019,7237,19616,894,11488980,86707
Belize,BLZ,North America,2019,123,138,7,389095,1612
Benin,BEN,Africa,2019,1971,1938,87,12290444,54239
Bermuda,BMU,North America,2019,22,61,2,63911,469
Bhutan,BTN,Asia,2019,84,332,28,767459,3938
Bolivia,BOL,South America,2019,3070,3529,220,11777315,53929
Bosnia and Herzegovina,BIH,Europe,2019,1303,8700,190,3360711,54412
Botswana,BWA,Africa,2019,1031,1588,230,2499702,15296
Brazil,BRA,South America,2019,77477,170120,6892,211782878,1152449
Bulgaria,BGR,Europe,2019,8139,20639,630,6975761,177175
Burkina Faso,BFA,Africa,2019,6895,2990,158,20951639,116939
Burundi,BDI,Africa,2019,5400,2779,81,11874838,55599
Cambodia,KHM,Asia,2019,9655,16459,908,16207746,113008
Cameroon,CMR,Africa,2019,8420,5414,393,25782341,128405
Canada,CAN,North America,2019,13622,49646,5062,37601230,212170
Central African Republic,CAF,Africa,2019,2358,1975,177,5209324,40797
Chad,TCD,Africa,2019,3381,2973,175,16126866,102015
Chile,CHL,South America,2019,8556,11179,1781,19039485,98543
China,CHN,Asia,2019,514659,2418665,85238,1407745000,13409833
Colombia,COL,South America,2019,7563,17296,507,50187406,191401
Comoros,COM,Africa,2019,68,250,8,790986,3767
Costa Rica,CRI,North America,2019,1113,2118,106,5084532,19431
Cote d'Ivoire,CIV,Africa,2019,7232,6481,506,26147551,111121
Croatia,HRV,Europe,2019,2929,9640,132,4065253,63838
Cuba,CUB,North America,2019,4569,19990,195,11316697,100247
Cyprus,CYP,Asia,2019,333,1535,30,1228836,8293
Czechia,CZE,Europe,2019,6728,20716,663,10671870,133620
Denmark,DNK,Europe,2019,3524,12728,458,5814422,43825
Djibouti,DJI,Africa,2019,90,491,14,1073994,4551
Dominica,DMA,North America,2019,32,41,1,71428,635
Dominican Republic,DOM,North America,2019,3722,8202,244,10881882,65898
Ecuador,ECU,South America,2019,3964,4804,269,17343740,68009
El Salvador,SLV,North America,2019,2306,1705,110,6280217,33639
Equatorial Guinea,GNQ,Africa,2019,299,192,53,1553031,3674
Eritrea,ERI,Africa,2019,1345,1465,80,3498818,28504
Estonia,EST,Europe,2019,1194,2196,223,1326898,16275
Eswatini,SWZ,Africa,2019,620,362,116,1169613,7449
Ethiopia,ETH,Africa,2019,19602,8123,1191,114120594,347063
Fiji,FJI,Oceania,2019,107,924,31,918465,11174
Finland,FIN,Europe,2019,2634,6763,638,5521606,48634
France,FRA,Europe,2019,42156,80348,5246,67388001,402771
Gabon,GAB,Africa,2019,897,524,44,2242785,8831
Georgia,GEO,Asia,2019,2259,7172,304,3720161,69032
Germany,DEU,Europe,2019,76279,143642,5329,83092962,879851
Ghana,GHA,Africa,2019,10154,5477,606,31522290,145698
Greece,GRC,Europe,2019,3958,26258,344,10721582,118223
Greenland,GRL,North America,2019,40,127,7,56225,391
Grenada,GRD,North America,2019,45,55,2,122724,787
Guam,GUM,Oceania,2019,19,159,9,168624,1226
Guatemala,GTM,North America,2019,5890,3788,492,16604026,72155
Guinea,GIN,Africa,2019,1850,4250,161,12877539,68799
Guinea-Bissau,GNB,Africa,2019,591,301,40,1970457,10013
Guyana,GUY,South America,2019,474,423,22,798753,6902
Haiti,HTI,North America,2019,4249,3117,298,11160438,85291
Honduras,HND,North America,2019,2786,4226,287,9958829,48852
Hungary,HUN,Europe,2019,9115,24823,223,9771141,162490
Iceland,ISL,Europe,2019,71,345,21,360563,1598
India,IND,Asia,2019,343695,1013282,72903,1383112050,9986827
Indonesia,IDN,Asia,2019,17644,246359,6012,269582878,1914553
Iraq,IRQ,Asia,2019,817,25199,1098,41563520,250157
Ireland,IRL,Europe,2019,1543,6184,333,4934340,25504
Israel,ISR,Asia,2019,651,6144,273,9054000,37688
Italy,ITA,Europe,2019,30365,90489,6292,59729081,558249
Jamaica,JAM,North America,2019,418,1721,34,2813773,19347
Japan,JPN,Asia,2019,47795,199396,10535,126633000,842925
Jordan,JOR,Asia,2019,186,4742,128,10698683,38837
Kazakhstan,KAZ,Asia,2019,9586,20164,2552,18513673,173146
Kenya,KEN,Africa,2019,15862,10246,5534,50951450,175566
Kiribati,KIR,Oceania,2019,20,252,9,124241,1521
Kuwait,KWT,Asia,2019,32,1524,59,4441100,13402
Latvia,LVA,Europe,2019,1614,3690,211,1913822,30631
Lebanon,LBN,Asia,2019,262,7811,229,5781907,45273
Lesotho,LSO,Africa,2019,1661,2217,348,2225702,20029
Liberia,LBR,Africa,2019,1181,675,71,4985289,19372
Libya,LBY,Africa,2019,209,3663,266,6569088,38115
Lithuania,LTU,Europe,2019,2310,4934,331,2794137,40225
Luxembourg,LUX,Europe,2019,280,676,41,620001,3398
Madagascar,MDG,Africa,2019,4171,5413,328,27533134,127057
Malawi,MWI,Africa,2019,4415,4746,280,18867337,72259
Malaysia,MYS,Asia,2019,3388,24588,1398,32804020,168244
Maldives,MDV,Asia,2019,13,205,16,504508,1377
Mali,MLI,Africa,2019,2071,3602,182,20567424,102732
Malta,MLT,Europe,2019,110,551,21,504062,3614
Marshall Islands,MHL,Oceania,2019,10,53,4,44728,493
Mauritania,MRT,Africa,2019,165,703,8,4383849,15573
Mauritius,MUS,Africa,2019,340,1041,119,1265985,13563
Mexico,MEX,North America,2019,49889,48393,4009,125085311,691863
Moldova,MDA,Europe,2019,3800,5921,473,2664224,49878
Monaco,MCO,Europe,2019,15,97,3,37034,385
Mongolia,MNG,Asia,2019,3340,3766,415,3232430,30623
Montenegro,MNE,Europe,2019,492,1761,22,622028,10287
Morocco,MAR,Africa,2019,1108,21382,1030,36304408,303235
Mozambique,MOZ,Africa,2019,4925,8058,829,30285595,131532
Myanmar,MMR,Asia,2019,20452,60039,5833,53040212,488029
Namibia,NAM,Africa,2019,1034,1150,155,2446644,13500
Nauru,NRU,Oceania,2019,3,11,1,12132,78
Nepal,NPL,Asia,2019,6831,34201,898,28832496,205541
Netherlands,NLD,Europe,2019,7565,31530,658,17344874,114041
New Zealand,NZL,Oceania,2019,1352,4792,271,4979200,24383
Nicaragua,NIC,North America,2019,1706,1645,104,6663924,30201
Niger,NER,Africa,2019,1041,1982,73,23443393,118426
Nigeria,NGA,Africa,2019,45888,17350,12463,203304492,912981
North Macedonia,MKD,Europe,2019,972,5307,122,2076694,37970
Northern Mariana Islands,MNP,Oceania,2019,9,60,3,49858,413
Norway,NOR,Europe,2019,1263,4818,385,5347896,26992
Oman,OMN,Asia,2019,67,812,72,4602768,14256
Pakistan,PAK,Asia,2019,18214,134289,8583,223293280,1375527
Palau,PLW,Oceania,2019,3,30,1,17916,237
Panama,PAN,North America,2019,866,1182,69,4232532,15185
Papua New Guinea,PNG,Oceania,2019,574,7155,299,9542486,66942
Paraguay,PRY,South America,2019,2133,4411,195,6530026,32784
Peru,PER,South America,2019,6740,4489,547,32824861,95593
Philippines,PHL,Asia,2019,39802,95587,1174,110380804,661704
Poland,POL,Europe,2019,26320,77669,1826,37965475,460603
Portugal,PRT,Europe,2019,7242,12134,600,10286263,85563
Puerto Rico,PRI,North America,2019,1380,2789,108,3193694,28480
Qatar,QAT,Asia,2019,75,418,39,2807235,4788
Romania,ROU,Europe,2019,19601,38999,2263,19371648,324945
Rwanda,RWA,Africa,2019,5223,4959,82,12835028,51184
Samoa,WSM,Oceania,2019,26,234,9,211905,1861
San Marino,SMR,Europe,2019,16,42,1,34178,215
Sao Tome and Principe,STP,Africa,2019,65,44,1,214599,883
Saudi Arabia,SAU,Asia,2019,722,12271,722,35827362,154143
Senegal,SEN,Africa,2019,1042,3108,88,16000781,67119
Serbia,SRB,Europe,2019,5066,24350,598,6945235,168706
Seychelles,SYC,Africa,2019,57,106,7,97625,740
Sierra Leone,SLE,Africa,2019,1904,2225,70,8046828,41403
Singapore,SGP,Asia,2019,307,2814,156,5703569,16423
Slovenia,SVN,Europe,2019,1115,2980,169,2088385,18849
Solomon Islands,SLB,Oceania,2019,59,1026,41,674993,8419
Somalia,SOM,Africa,2019,903,5257,145,15981300,109541
South Africa,ZAF,Africa,2019,27060,32836,5486,58087055,346018
South Sudan,SSD,Africa,2019,575,1919,103,10447666,39825
Spain,ESP,Europe,2019,19330,66331,1724,47134837,319980
Sri Lanka,LKA,Asia,2019,7296,11071,204,21803000,147936
Sudan,SDN,Africa,2019,494,16147,2167,43232093,220694
Suriname,SUR,South America,2019,214,451,14,600301,4240
Sweden,SWE,Europe,2019,4340,13692,734,10278887,73216
Switzerland,CHE,Europe,2019,3938,10216,618,8575280,53783
Tajikistan,TJK,Asia,2019,1732,4634,436,9337003,58568
Tanzania,TZA,Africa,2019,19290,17914,2019,59872579,243035
Thailand,THA,Asia,2019,39223,62859,10674,71307763,430315
Togo,TGO,Africa,2019,1568,2292,146,8243094,37193
Tonga,TON,Oceania,2019,9,100,8,104951,735
Trinidad and Tobago,TTO,North America,2019,399,1028,30,1519955,14279
Tunisia,TUN,Africa,2019,723,10859,393,12049314,85516
Turkmenistan,TKM,Asia,2019,2349,4044,545,6158420,46117
Tuvalu,TUV,Oceania,2019,1,17,1,10956,124
Uganda,UGA,Africa,2019,15356,6273,141,42949080,136163
Ukraine,UKR,Europe,2019,44744,113389,9361,44386203,856572
United Arab Emirates,ARE,Asia,2019,553,3726,1008,9211657,34788
United Kingdom,GBR,Europe,2019,25242,119777,5014,66836327,481831
United States,USA,North America,2019,136663,527736,104736,328329953,2549358
Uruguay,URY,South America,2019,1689,4864,243,3428409,25129
Uzbekistan,UZB,Asia,2019,9562,22193,3042,33580350,290223
Vanuatu,VUT,Oceania,2019,46,247,17,304404,2975
Vietnam,VNM,Asia,2019,52984,97074,9605,95776716,706638
Zambia,ZMB,Africa,2019,6870,4673,394,18380477,72280
Zimbabwe,ZWE,Africa,2019,5156,8838,963,15354608,81732
